[19:48:52] [INFO] received Windows console close event; shutting log-core down
[21:43:38] [INFO] received Windows console close event; shutting log-core down
[01:01:06] [INFO] received Windows console close event; shutting log-core down
[01:01:36] [INFO] received Windows console close event; shutting log-core down
[22:29:25] [INFO] received Windows console close event; shutting log-core down
[22:30:10] [INFO] received Windows console close event; shutting log-core down
[00:34:39] [INFO] received Windows console close event; shutting log-core down
[02:37:43] [INFO] received Windows console close event; shutting log-core down
[17:51:51] [INFO] received Windows console close event; shutting log-core down
[20:48:30] [INFO] received Windows console close event; shutting log-core down
[22:01:12] [INFO] received Windows console close event; shutting log-core down
[15:36:34] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:49:58] [INFO] received Windows console close event; shutting log-core down
[15:54:20] [INFO] received Windows console close event; shutting log-core down
[16:31:33] [INFO] received Windows console close event; shutting log-core down
[16:33:03] [INFO] received Windows console close event; shutting log-core down
[18:34:38] [INFO] received Windows console close event; shutting log-core down
[19:16:44] [INFO] received Windows console close event; shutting log-core down
[20:20:18] [INFO] received Windows console close event; shutting log-core down
[00:59:12] [INFO] received Windows console close event; shutting log-core down
[00:59:40] [INFO] received Windows console close event; shutting log-core down
[01:00:11] [INFO] received Windows console close event; shutting log-core down
[01:00:25] [INFO] received Windows console close event; shutting log-core down
[01:00:49] [INFO] received Windows console close event; shutting log-core down
[01:02:17] [INFO] received Windows console close event; shutting log-core down
[01:04:58] [INFO] received Windows console close event; shutting log-core down
[15:44:10] [INFO] received Windows console close event; shutting log-core down
[17:00:48] [INFO] received Windows console close event; shutting log-core down
[18:15:16] [INFO] received Windows console close event; shutting log-core down
[20:24:59] [INFO] received Windows console close event; shutting log-core down
[23:40:36] [INFO] received Windows console close event; shutting log-core down
[23:42:01] [INFO] received Windows console close event; shutting log-core down
[23:45:47] [INFO] received Windows console close event; shutting log-core down
[00:18:16] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:19:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:21:53] [INFO] received Windows console close event; shutting log-core down
[00:22:27] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:41:04] [INFO] received Windows console close event; shutting log-core down
[18:45:03] [INFO] received Windows console close event; shutting log-core down
[14:16:02] [INFO] received Windows console close event; shutting log-core down
[14:48:49] [INFO] received Windows console close event; shutting log-core down
[14:52:05] [INFO] received Windows console close event; shutting log-core down
[15:18:08] [INFO] received Windows console close event; shutting log-core down
[20:26:05] [INFO] received Windows console close event; shutting log-core down
[21:09:56] [INFO] received Windows console close event; shutting log-core down
[21:22:27] [INFO] received Windows console close event; shutting log-core down
[21:33:01] [INFO] received Windows console close event; shutting log-core down
[22:09:41] [INFO] received Windows console close event; shutting log-core down
[18:05:44] [INFO] received Windows console close event; shutting log-core down
[19:30:05] [INFO] received Windows console close event; shutting log-core down
[19:37:45] [INFO] received Windows console close event; shutting log-core down
[19:39:41] [INFO] received Windows console close event; shutting log-core down
[20:28:35] [INFO] received Windows console close event; shutting log-core down
[21:19:39] [INFO] received Windows console close event; shutting log-core down
[01:29:29] [INFO] received Windows console close event; shutting log-core down
[17:26:20] [INFO] received Windows console close event; shutting log-core down
[17:59:07] [INFO] received Windows console close event; shutting log-core down
[18:16:45] [INFO] received Windows console close event; shutting log-core down
[18:46:18] [INFO] received Windows console close event; shutting log-core down
[21:27:01] [INFO] received Windows console close event; shutting log-core down
[19:01:39] [INFO] received Windows console close event; shutting log-core down
[20:26:15] [INFO] received Windows console close event; shutting log-core down
[00:10:54] [INFO] received Windows console close event; shutting log-core down
[01:53:24] [INFO] received Windows console close event; shutting log-core down
[02:19:18] [INFO] received Windows console close event; shutting log-core down
[16:41:42] [INFO] received Windows console close event; shutting log-core down
[16:56:23] [INFO] received Windows console close event; shutting log-core down
[17:03:30] [INFO] received Windows console close event; shutting log-core down
[17:18:21] [INFO] received Windows console close event; shutting log-core down
[20:57:35] [INFO] received Windows console close event; shutting log-core down
[22:04:20] [INFO] received Windows console close event; shutting log-core down
[01:25:55] [INFO] received Windows console close event; shutting log-core down
[01:58:19] [INFO] received Windows console close event; shutting log-core down
[14:45:09] [INFO] received Windows console close event; shutting log-core down
[14:46:27] [INFO] received Windows console close event; shutting log-core down
[16:05:02] [INFO] received Windows console close event; shutting log-core down
[18:43:57] [INFO] received Windows console close event; shutting log-core down
[18:51:24] [INFO] received Windows console close event; shutting log-core down
[18:51:27] [INFO] received Windows console close event; shutting log-core down
[19:04:46] [INFO] received Windows console close event; shutting log-core down
[13:51:35] [INFO] received Windows console close event; shutting log-core down
[23:39:06] [INFO] received Windows console close event; shutting log-core down
[00:19:45] [INFO] received Windows console close event; shutting log-core down
[00:31:12] [INFO] received Windows console close event; shutting log-core down
[00:35:08] [INFO] received Windows console close event; shutting log-core down
[00:51:23] [INFO] received Windows console close event; shutting log-core down
[15:36:08] [INFO] received Windows console close event; shutting log-core down
[16:25:45] [INFO] received Windows console close event; shutting log-core down
[19:05:27] [INFO] received Windows console close event; shutting log-core down
[20:06:48] [INFO] received Windows console close event; shutting log-core down
[22:51:12] [INFO] received Windows console close event; shutting log-core down
[23:52:33] [INFO] received Windows console close event; shutting log-core down
[15:38:17] [INFO] received Windows console close event; shutting log-core down
[16:43:50] [INFO] received Windows console close event; shutting log-core down
[18:46:51] [INFO] received Windows console close event; shutting log-core down
[19:57:52] [INFO] received Windows console close event; shutting log-core down
[21:29:49] [INFO] received Windows console close event; shutting log-core down
[14:01:30] [INFO] received Windows console close event; shutting log-core down
[14:03:03] [INFO] received Windows console close event; shutting log-core down
[14:44:02] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[14:45:11] [INFO] received Windows console close event; shutting log-core down
[15:21:49] [INFO] received Windows console close event; shutting log-core down
[15:37:54] [INFO] received Windows console close event; shutting log-core down
[15:59:59] [INFO] received Windows console close event; shutting log-core down
[23:25:42] [INFO] received Windows console close event; shutting log-core down
[23:31:02] [INFO] received Windows console close event; shutting log-core down
[00:38:05] [INFO] received Windows console close event; shutting log-core down
[00:38:14] [INFO] received Windows console close event; shutting log-core down
[01:16:02] [INFO] received Windows console close event; shutting log-core down
[17:21:28] [INFO] received Windows console close event; shutting log-core down
[17:40:34] [INFO] received Windows console close event; shutting log-core down
[23:57:42] [INFO] received Windows console close event; shutting log-core down
[23:57:46] [INFO] received Windows console close event; shutting log-core down
[23:58:41] [INFO] received Windows console close event; shutting log-core down
[23:58:53] [INFO] received Windows console close event; shutting log-core down
[00:41:22] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:44:33] [INFO] received Windows console close event; shutting log-core down
[00:44:55] [INFO] received Windows console close event; shutting log-core down
[00:48:37] [INFO] received Windows console close event; shutting log-core down
[00:54:37] [INFO] received Windows console close event; shutting log-core down
[12:42:34] [INFO] received Windows console close event; shutting log-core down
[23:09:09] [INFO] received Windows console close event; shutting log-core down
[00:05:13] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:05:40] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:07:28] [INFO] received Windows console close event; shutting log-core down
[00:09:53] [INFO] received Windows console close event; shutting log-core down
[01:05:32] [INFO] received Windows console close event; shutting log-core down
[01:30:15] [INFO] received Windows console close event; shutting log-core down
[14:38:23] [INFO] received Windows console close event; shutting log-core down
[15:45:08] [INFO] received Windows console close event; shutting log-core down
[19:23:04] [INFO] received Windows console close event; shutting log-core down
[19:56:13] [INFO] received Windows console close event; shutting log-core down
[20:16:36] [INFO] received Windows console close event; shutting log-core down
[20:57:40] [INFO] received Windows console close event; shutting log-core down
[21:39:36] [INFO] received Windows console close event; shutting log-core down
[16:16:43] [INFO] received Windows console close event; shutting log-core down
[16:38:35] [INFO] received Windows console close event; shutting log-core down
[21:06:10] [INFO] received Windows console close event; shutting log-core down
[21:32:50] [INFO] received Windows console close event; shutting log-core down
[01:55:48] [INFO] received Windows console close event; shutting log-core down
[01:56:20] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:58:42] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:59:24] [INFO] received Windows console close event; shutting log-core down
[02:04:35] [INFO] received Windows console close event; shutting log-core down
[02:04:43] [INFO] received Windows console close event; shutting log-core down
[02:04:44] [INFO] received Windows console close event; shutting log-core down
[02:21:20] [INFO] received Windows console close event; shutting log-core down
[22:41:35] [INFO] received Windows console close event; shutting log-core down
[23:18:19] [INFO] received Windows console close event; shutting log-core down
[02:36:23] [INFO] received Windows console close event; shutting log-core down
